"" "subject_ID" "tissue" "days"
"8909358026_K" 8909358026 "axillary_LN" 7
"8909358026_L" 8909358026 "Colon" 7
"8909358125_F" 8909358125 "Colon" 7
"8909358125_J" 8909358125 "axillary_LN" 3
"8909358125_K" 8909358125 "genital_pelvic_LN" 7
"8909358129_B" 8909358129 "Blood" 7
"8909358129_E" 8909358129 "genital_pelvic_LN" 7
"8909358241_F" 8909358241 "Blood" 7
"8909358261_A" 8909358261 "Colon" 10
"8909358261_C" 8909358261 "axillary_LN" 7
"8909358261_F" 8909358261 "Blood" 10
"8909358264_A" 8909358264 "axillary_LN" 10
"8909358264_E" 8909358264 "mesenteric_LN" 7
"8909358275_A" 8909358275 "Colon" 7
"8909358275_B" 8909358275 "genital_pelvic_LN" 7
"8909358275_C" 8909358275 "Jejunum" 7
"8909358275_G" 8909358275 "mesenteric_LN" 10
"8909358275_J" 8909358275 "mesenteric_LN" 7
"8909358279_B" 8909358279 "axillary_LN" 10
"8909358279_G" 8909358279 "Jejunum" 10
"8909358279_J" 8909358279 "genital_pelvic_LN" 10
"8909358279_K" 8909358279 "Jejunum" 7
"8909358279_L" 8909358279 "mesenteric_LN" 10
"8909358294_C" 8909358294 "Colon" 10
"8909358294_D" 8909358294 "Tonsil" 10
"8909358294_F" 8909358294 "Blood" 7
"8909358294_G" 8909358294 "genital_pelvic_LN" 10
"8909358294_K" 8909358294 "Blood" 10
"8909358294_L" 8909358294 "genital_pelvic_LN" 7
"8981245016_C" 8981245016 "Jejunum" 7
"8981245016_H" 8981245016 "mesenteric_LN" 7
"8981245016_I" 8981245016 "axillary_LN" 7
"8981245016_K" 8981245016 "Tonsil" 7
"8981245020_C" 8981245020 "Blood" 7
"8981245020_J" 8981245020 "Colon" 7
"8981245020_K" 8981245020 "axillary_LN" 7
"8981245021_A" 8981245021 "Blood" 7
"8981245021_D" 8981245021 "Colon" 7
"8981245021_K" 8981245021 "genital_pelvic_LN" 7
"8981245022_D" 8981245022 "genital_pelvic_LN" 7
"8981245022_F" 8981245022 "mesenteric_LN" 7
"8981245022_I" 8981245022 "Tonsil" 7
"8981245022_J" 8981245022 "Jejunum" 7
"8981245037_B" 8981245037 "Jejunum" 7
"8981245037_G" 8981245037 "Tonsil" 7
"8981245037_J" 8981245037 "axillary_LN" 7
"8981245042_A" 8981245042 "Blood" 7
"8981245042_F" 8981245042 "mesenteric_LN" 7
"8981245042_G" 8981245042 "Colon" 7
"8981245042_J" 8981245042 "genital_pelvic_LN" 7
"9021212001_E" 9021212001 "Colon" 7
"9021212001_L" 9021212001 "Colon" 10
"9031313003_B" 9031313003 "genital_pelvic_LN" 10
"9031313003_E" 9031313003 "Blood" 7
"9031313003_G" 9031313003 "genital_pelvic_LN" 7
"9031313003_L" 9031313003 "mesenteric_LN" 7
"9031313009_A" 9031313009 "Jejunum" 7
"9031313009_B" 9031313009 "mesenteric_LN" 7
"9031313009_L" 9031313009 "Blood" 7
"9031313012_H" 9031313012 "Jejunum" 10
"9031313012_I" 9031313012 "axillary_LN" 7
"9031313012_J" 9031313012 "Tonsil" 10
"9031313012_K" 9031313012 "Tonsil" 7
"9031313013_F" 9031313013 "Blood" 10
"9031313013_G" 9031313013 "Tonsil" 10
"9031313013_I" 9031313013 "Tonsil" 7
"9031313013_K" 9031313013 "axillary_LN" 10
"9031313015_C" 9031313015 "axillary_LN" 7
"9031313015_E" 9031313015 "Colon" 7
"9031313015_G" 9031313015 "axillary_LN" 7
"9031313015_H" 9031313015 "Jejunum" 10
"9031313015_K" 9031313015 "genital_pelvic_LN" 7
"9031313023_A" 9031313023 "Jejunum" 7
"9031313023_E" 9031313023 "Tonsil" 7
"9031313023_I" 9031313023 "mesenteric_LN" 10
"9031313032_G" 9031313032 "Colon" 7
"9287078026_C" 9287078026 "Tonsil" 3
"9287078026_J" 9287078026 "Tonsil" 3
"9287078028_H" 9287078028 "genital_pelvic_LN" 3
"9287078028_K" 9287078028 "genital_pelvic_LN" 3
"9287078028_L" 9287078028 "axillary_LN" 3
"9287078036_G" 9287078036 "Tonsil" 3
"9287078036_I" 9287078036 "Blood" 3
"9287078038_E" 9287078038 "Blood" 3
"9287078038_I" 9287078038 "Colon" 3
"9287078038_J" 9287078038 "axillary_LN" 3
"9287078038_K" 9287078038 "Jejunum" 3
"9287078041_B" 9287078041 "mesenteric_LN" 3
"9287078041_C" 9287078041 "Colon" 3
"9287078041_D" 9287078041 "Jejunum" 3
"9287078041_E" 9287078041 "mesenteric_LN" 3
"9287078041_G" 9287078041 "genital_pelvic_LN" 3
"9287078041_H" 9287078041 "Colon" 3
"9287078041_J" 9287078041 "mesenteric_LN" 3
"9287078048_C" 9287078048 "axillary_LN" 3
"9287078048_D" 9287078048 "Tonsil" 3
"9287078048_J" 9287078048 "Jejunum" 3
"9287078048_K" 9287078048 "Colon" 3
"9287078051_A" 9287078051 "Blood" 3
"9287078051_C" 9287078051 "genital_pelvic_LN" 3
"9287078051_D" 9287078051 "Blood" 3
"9287078051_L" 9287078051 "Jejunum" 3
"9287078060_G" 9287078060 "mesenteric_LN" 3
"9287078060_I" 9287078060 "axillary_LN" 3
"9372535050_D" 9372535050 "Tonsil" 3
"9372962029_C" 9372962029 "axillary_LN" 1
"9372962029_E" 9372962029 "Blood" 1
"9372962029_G" 9372962029 "mesenteric_LN" 1
"9372962029_I" 9372962029 "Blood" 1
"9372962029_L" 9372962029 "mesenteric_LN" 1
"9372962047_B" 9372962047 "Colon" 1
"9372962047_H" 9372962047 "genital_pelvic_LN" 1
"9372962047_J" 9372962047 "Blood" 1
"9372962066_B" 9372962066 "Tonsil" 1
"9372962066_C" 9372962066 "axillary_LN" 1
"9372962066_H" 9372962066 "Tonsil" 1
"9372962074_A" 9372962074 "genital_pelvic_LN" 1
"9372962074_D" 9372962074 "mesenteric_LN" 1
"9372962074_E" 9372962074 "axillary_LN" 1
"9372962074_G" 9372962074 "Jejunum" 1
"9372962074_K" 9372962074 "Blood" 1
"9372962074_L" 9372962074 "Jejunum" 1
"9377358019_G" 9377358019 "Tonsil" 3
"9377358019_J" 9377358019 "axillary_LN" 3
"9377358019_L" 9377358019 "Jejunum" 3
"9377358026_E" 9377358026 "Blood" 3
"9377358032_K" 9377358032 "Colon" 3
"9377358053_D" 9377358053 "Jejunum" 3
"9377358053_E" 9377358053 "Colon" 3
"9377358053_J" 9377358053 "mesenteric_LN" 3
"9377358053_L" 9377358053 "Colon" 3
"9377358058_D" 9377358058 "genital_pelvic_LN" 3
"9377358058_H" 9377358058 "axillary_LN" 3
"9377358063_A" 9377358063 "Tonsil" 1
"9377358063_B" 9377358063 "Jejunum" 1
"9377358063_I" 9377358063 "Blood" 1
"9377358065_B" 9377358065 "axillary_LN" 3
"9377358065_C" 9377358065 "mesenteric_LN" 3
"9377358065_J" 9377358065 "Jejunum" 3
"9377358065_K" 9377358065 "Tonsil" 3
"9377358066_A" 9377358066 "Jejunum" 1
"9377358071_H" 9377358071 "Colon" 1
"9377358071_J" 9377358071 "mesenteric_LN" 1
"9377361008_D" 9377361008 "Tonsil" 1
"9377361008_I" 9377361008 "axillary_LN" 1
"9377361008_J" 9377361008 "genital_pelvic_LN" 1
"9377361031_A" 9377361031 "genital_pelvic_LN" 1
"9377361031_C" 9377361031 "Colon" 1
"9377361031_D" 9377361031 "Colon" 1
"9377361033_A" 9377361033 "genital_pelvic_LN" 3
"9377361033_J" 9377361033 "Blood" 3
"9377361033_K" 9377361033 "axillary_LN" 3
"9377361033_L" 9377361033 "mesenteric_LN" 3
"9377361036_G" 9377361036 "Blood" 3
"9377361036_I" 9377361036 "genital_pelvic_LN" 3
"9377361036_K" 9377361036 "genital_pelvic_LN" 3
"9377361036_L" 9377361036 "Colon" 3
"9980097039_A" 9980097039 "Tonsil" 0
"9980097039_B" 9980097039 "Jejunum" 0
"9980097039_D" 9980097039 "genital_pelvic_LN" 0
"9980097039_E" 9980097039 "Tonsil" 0
"9980097039_F" 9980097039 "mesenteric_LN" 0
"9980097039_H" 9980097039 "Blood" 0
"9980097039_K" 9980097039 "genital_pelvic_LN" 0
"9980097039_L" 9980097039 "mesenteric_LN" 0
"9980097056_C" 9980097056 "Jejunum" 0
"9980097056_E" 9980097056 "Blood" 0
"9982865061_A" 9982865061 "genital_pelvic_LN" 0
"9982865061_B" 9982865061 "axillary_LN" 0
"9982865061_C" 9982865061 "axillary_LN" 0
"9982865061_D" 9982865061 "axillary_LN" 0
"9982865061_H" 9982865061 "Blood" 0
"9982865061_I" 9982865061 "Tonsil" 0
"9982865061_J" 9982865061 "mesenteric_LN" 0
"9982865061_K" 9982865061 "Colon" 0
"9982865068_A" 9982865068 "axillary_LN" 0
"9982865068_B" 9982865068 "mesenteric_LN" 0
"9982865068_C" 9982865068 "genital_pelvic_LN" 0
"9982865068_D" 9982865068 "Jejunum" 0
"9982865068_E" 9982865068 "Jejunum" 0
"9982865068_F" 9982865068 "Colon" 0
"9982865068_G" 9982865068 "Blood" 0
"9982865068_H" 9982865068 "Colon" 0
"9982865068_I" 9982865068 "Tonsil" 0
